"pitcherid","pitcher","pitch_type","p_throws","rockies","hb","ivb","velo","spin","nPitches"
592426,"Luke Jackson","SL","R","Other",-0.260044543429844,-5.63118040089087,87.3240534521158,2261.83296213808,449
592791,"Jameson Taillon","CH","R","COL",-12.78,6.96,86.35,1873,2
592791,"Jameson Taillon","CH","R","Other",-14.2465384615385,9.89192307692308,86.0201923076923,1899.44230769231,104
592791,"Jameson Taillon","CU","R","COL",7.21714285714286,-8.72571428571429,78.5857142857143,2612.14285714286,7
592791,"Jameson Taillon","CU","R","Other",9.93378151260504,-10.7838655462185,79.5675070028011,2693.95238095238,357
592791,"Jameson Taillon","FC","R","COL",5.22375,5.99625,86.46875,2540.9375,32
592791,"Jameson Taillon","FC","R","Other",5.51959322033898,8.18461016949153,86.5035593220339,2524.75254237288,590
592791,"Jameson Taillon","FF","R","COL",-6.73333333333333,13.8666666666667,92,2290.96296296296,27
592791,"Jameson Taillon","FF","R","Other",-6.86372881355932,16.1569491525424,92.278813559322,2281.66384180791,708
592791,"Jameson Taillon","SI","R","COL",-10.44,10.944,92.66,2302,5
592791,"Jameson Taillon","SI","R","Other",-12.9415037593985,13.8609022556391,92.5436090225564,2249.74060150376,266
592791,"Jameson Taillon","ST","R","COL",12.34,-0.68,80.725,2718.33333333333,12
592791,"Jameson Taillon","ST","R","Other",15.747345844504,0.343592493297587,80.4268096514745,2733.71045576408,373
593423,"Frankie Montas","FC","R","COL",1.884,4.674,90.68,2311.2,20
593423,"Frankie Montas","FC","R","Other",1.94440677966102,5.8271186440678,90.3493644067797,2432.36440677966,472
593423,"Frankie Montas","FF","R","COL",-4.395,12.4125,95.578125,2324.125,32
593423,"Frankie Montas","FF","R","Other",-5.13074910820452,15.4212128418549,95.6391200951249,2388.40309155767,841
593423,"Frankie Montas","FS","R","COL",-5.935,2.355,85.475,1376.83333333333,24
593423,"Frankie Montas","FS","R","Other",-9.57385620915033,2.40156862745098,86.0429193899782,1522.10021786492,459
593423,"Frankie Montas","SI","R","COL",-10.62,6.88,94.95,2197.16666666667,6
593423,"Frankie Montas","SI","R","Other",-13.9113253012048,9.29084337349398,94.7875502008032,2256.98393574297,498
593423,"Frankie Montas","SL","R","COL",5.74285714285714,6.54,85.4857142857143,2417.21428571429,14
593423,"Frankie Montas","SL","R","Other",7.61842696629213,3.32943820224719,85.3539325842697,2528.5468164794,267
593958,"Eduardo Rodríguez","CH","L","COL",12.5723076923077,5.88,85.0769230769231,1923.07692307692,13
593958,"Eduardo Rodríguez","CH","L","Other",16.3701098901099,6.24461538461538,86.7840659340659,1954.67032967033,182
593958,"Eduardo Rodríguez","FC","L","COL",-0.696,7.75885714285714,89.5628571428571,2234.45714285714,35
593958,"Eduardo Rodríguez","FC","L","Other",-1.50272727272727,8.65636363636364,88.5674242424242,2267.20454545455,132
593958,"Eduardo Rodríguez","FF","L","COL",4.99692307692308,11.0184615384615,92.3487179487179,2251.79487179487,39
593958,"Eduardo Rodríguez","FF","L","Other",6.09684210526316,14.7150877192982,91.9362573099415,2268.43859649123,342
593958,"Eduardo Rodríguez","SI","L","COL",10.62,9.36,91.625,2272.5,4
593958,"Eduardo Rodríguez","SI","L","Other",12.6890322580645,11.4174193548387,91.6354838709677,2302.17741935484,62
593958,"Eduardo Rodríguez","SL","L","COL",-2.4,7.04,84.2666666666667,2044.66666666667,3
593958,"Eduardo Rodríguez","SL","L","Other",-3.19777777777778,2.01555555555556,83.8574074074074,2145.2037037037,54
593974,"Wandy Peralta","CH","L","COL",12.9,4.06285714285714,87.3928571428571,2160.85714285714,14
593974,"Wandy Peralta","CH","L","Other",17.0662809917355,5.00380165289256,88.6644628099174,NA,242
593974,"Wandy Peralta","FF","L","COL",9.96,11.76,95.1,2241,1
593974,"Wandy Peralta","FF","L","Other",11.64,14.304,95.4181818181818,2160.89090909091,55
593974,"Wandy Peralta","SI","L","COL",12.624,7.278,94.985,2210.4,20
593974,"Wandy Peralta","SI","L","Other",16.5068493150685,9.63287671232877,95.0648401826484,2144.23287671233,219
593974,"Wandy Peralta","SL","L","COL",0.88,5,89.4666666666667,2292.33333333333,3
593974,"Wandy Peralta","SL","L","Other",-0.931525423728814,5.72135593220339,88.5542372881356,2257.13559322034,59
596295,"Austin Gomber","CH","L","COL",8.393,9.068,81.00375,1672.21666666667,240
596295,"Austin Gomber","CH","L","Other",11.435033557047,11.5280536912752,81.0889261744966,1657.64093959732,298
596295,"Austin Gomber","FF","L","COL",6.5847032967033,15.1524395604396,90.2551648351648,NA,455
596295,"Austin Gomber","FF","L","Other",8.35993355481728,18.4299667774086,90.5142857142857,2173.43853820598,602
596295,"Austin Gomber","KC","L","COL",-6.24485294117647,-9.83955882352941,77.3022058823529,NA,272
596295,"Austin Gomber","KC","L","Other",-8.67085714285714,-11.904,77.8209523809524,2544.8380952381,315
596295,"Austin Gomber","PO","L","Other",11.28,15.72,89.7,2094,1
596295,"Austin Gomber","SI","L","Other",13.8,15.06,90.15,2190.5,2
596295,"Austin Gomber","SL","L","COL",-4.85631578947368,2.68894736842105,83.5390350877193,NA,228
596295,"Austin Gomber","SL","L","Other",-5.3133014354067,4.01569377990431,83.9822966507177,2413.07177033493,209
601713,"Nick Pivetta","CU","R","COL",7.584,-11.904,78.92,2776.6,5
601713,"Nick Pivetta","CU","R","Other",7.819375,-15.22,80.0549479166667,2814.1171875,384
601713,"Nick Pivetta","FC","R","COL",2.04,4.62,87.075,2223.5,4
601713,"Nick Pivetta","FC","R","Other",4.7229197080292,6.66394160583942,88.3693430656934,2345.30656934307,137
601713,"Nick Pivetta","FF","R","COL",-3.1695652173913,15.9391304347826,92.8478260869565,2314.34782608696,46
601713,"Nick Pivetta","FF","R","Other",-4.08075403949731,20.0794254937163,93.9780071813286,2310.72531418312,1114
601713,"Nick Pivetta","PO","R","Other",-8.4,22.92,91.5,2364,1
601713,"Nick Pivetta","SL","R","Other",3.6409756097561,-5.16292682926829,83.9170731707317,2425.71951219512,82
601713,"Nick Pivetta","ST","R","COL",12.4685714285714,0.714285714285714,81.4190476190476,2492.33333333333,21
601713,"Nick Pivetta","ST","R","Other",13.6243507588533,4.04984822934233,82.4903878583474,2475.71838111298,593
605397,"Joe Musgrove","CH","R","COL",-7.05,4.2,87.5,2136.75,4
605397,"Joe Musgrove","CH","R","Other",-12.887,3.54,87.0666666666667,NA,120
605397,"Joe Musgrove","CU","R","COL",8.76923076923077,-12.7661538461538,82.4076923076923,2877.88461538462,26
605397,"Joe Musgrove","CU","R","Other",11.592,-15.4992727272727,81.4924242424242,NA,330
605397,"Joe Musgrove","FC","R","COL",3.48,5.98736842105263,91.6052631578947,2736.84210526316,19
605397,"Joe Musgrove","FC","R","Other",2.96723684210526,7.31684210526316,89.6151315789474,NA,304
605397,"Joe Musgrove","FF","R","COL",-1.6,9.12666666666667,93.7777777777778,2643.88888888889,18
605397,"Joe Musgrove","FF","R","Other",-3.73714285714286,12.746846361186,92.911051212938,NA,371
605397,"Joe Musgrove","SI","R","COL",-6.36,7.2,95.1,2752,1
605397,"Joe Musgrove","SI","R","Other",-9.95823529411765,5.63117647058824,92.5794117647059,NA,68
605397,"Joe Musgrove","SL","R","Other",3.99,6.57,86.35,2687.25,4
605397,"Joe Musgrove","ST","R","COL",14.448,-3.12,82.74,2795.6,5
605397,"Joe Musgrove","ST","R","Other",16.9330769230769,-3.84923076923077,82.1035256410256,NA,312
605400,"Aaron Nola","CH","R","COL",-11.1942857142857,1.06285714285714,84.3428571428571,1593.85714285714,7
605400,"Aaron Nola","CH","R","Other",-15.4244,3.2872,85.7446666666667,1557.51666666667,300
605400,"Aaron Nola","FC","R","COL",0.048,6.342,87.25,2313.9,20
605400,"Aaron Nola","FC","R","Other",-1.36554744525547,8.66014598540146,87.5105839416058,2285.67518248175,274
605400,"Aaron Nola","FF","R","COL",-9.65379310344828,11.9379310344828,92.2413793103448,2319.8275862069,29
605400,"Aaron Nola","FF","R","Other",-12.0096503496504,14.7198601398601,92.4945221445222,2306.70629370629,858
605400,"Aaron Nola","KC","R","COL",10.8309677419355,-8.4658064516129,79.0741935483871,2596.1935483871,31
605400,"Aaron Nola","KC","R","Other",14.1099017681729,-9.96777996070727,79.105304518664,2604.6463654224,1018
605400,"Aaron Nola","SI","R","COL",-13.1925,7.395,92.025,2282.8125,16
605400,"Aaron Nola","SI","R","Other",-17.0803773584906,8.63132075471698,91.5218553459119,2238.67610062893,636
606965,"Chris Devenski","CH","R","COL",-12.68,6.36,81.6619047619048,1871.09523809524,21
606965,"Chris Devenski","CH","R","Other",-16.3887931034483,5.55724137931035,82.9431034482759,1681.93103448276,232
606965,"Chris Devenski","FC","R","COL",-0.106666666666667,4.64,83.9111111111111,2111.33333333333,9
606965,"Chris Devenski","FC","R","Other",3.45046153846154,5.97969230769231,85.3969230769231,2233.27692307692,65
606965,"Chris Devenski","FF","R","COL",-10.2,13.1494736842105,91.4,2149.26315789474,19
606965,"Chris Devenski","FF","R","Other",-10.9923287671233,17.8890410958904,93.2315068493151,2399.89726027397,146
606965,"Chris Devenski","ST","R","Other",14.3414634146341,-2.21268292682927,77.7170731707317,2242.31707317073,41
607067,"Colin Rea","CU","R","COL",8.55,-7.17,79.375,2177.75,4
607067,"Colin Rea","CU","R","Other",10.0466666666667,-9.49666666666667,78.6916666666667,2138.25,108
607067,"Colin Rea","FC","R","COL",4.818,2.904,87.2,2316.15,20
607067,"Colin Rea","FC","R","Other",2.02278787878788,7.27927272727273,87.6507070707071,2184.12525252525,495
607067,"Colin Rea","FF","R","COL",-2.44666666666667,9.23333333333333,93.0388888888889,2248.61111111111,18
607067,"Colin Rea","FF","R","Other",-6.63261663286004,13.9584584178499,92.9170385395538,2170.6430020284,493
607067,"Colin Rea","FS","R","COL",-8.72727272727273,2.60727272727273,86.6363636363636,1464.27272727273,11
607067,"Colin Rea","FS","R","Other",-14.1350226244344,4.08597285067873,86.5257918552036,1405.8371040724,221
607067,"Colin Rea","SI","R","COL",-8.55176470588235,6.58588235294118,92.4117647058823,2190.26470588235,34
607067,"Colin Rea","SI","R","Other",-14.097193426043,9.18887484197219,92.3113780025284,2142.64475347661,791
607067,"Colin Rea","ST","R","COL",10.896,-3.168,82.31,2259.5,10
607067,"Colin Rea","ST","R","Other",12.816808988764,-0.735640449438202,81.9770786516854,2202.60898876405,445
607200,"Erick Fedde","CH","R","COL",-8.42666666666667,5.02666666666667,86.9,1756.66666666667,9
607200,"Erick Fedde","CH","R","Other",-10.9563870967742,3.58038709677419,87.710752688172,1729.53333333333,465
607200,"Erick Fedde","FC","R","COL",1.84307692307692,4.78153846153846,89.5384615384615,2088.4358974359,39
607200,"Erick Fedde","FC","R","Other",2.84996648044693,7.19892737430168,89.9471508379888,2153.18770949721,895
607200,"Erick Fedde","FF","R","Other",-2.98666666666667,10.2133333333333,92.9444444444444,2043.33333333333,9
607200,"Erick Fedde","SI","R","COL",-7.584,6.672,92.655,1945.75,20
607200,"Erick Fedde","SI","R","Other",-9.07150401836969,9.37474167623421,93.0219288174512,1989.61653272101,871
607200,"Erick Fedde","ST","R","COL",10.6294736842105,0.435789473684211,82.3263157894737,2369,19
607200,"Erick Fedde","ST","R","Other",11.7408510638298,4.94234042553192,83.4946808510638,2355.8829787234,564
607536,"Kyle Freeland","CH","L","COL",10.6576470588235,5.26823529411765,86.25,NA,102
607536,"Kyle Freeland","CH","L","Other",13.6328571428571,6.852,86.0757142857143,1633.43571428571,140
607536,"Kyle Freeland","FF","L","COL",6.83657142857143,12.6116571428571,91.988,2376.88,175
607536,"Kyle Freeland","FF","L","Other",8.24524590163934,15.8990163934426,91.196174863388,2334.15300546448,183
607536,"Kyle Freeland","KC","L","COL",-0.582111801242236,-4.44745341614907,83.6701863354037,2457.63354037267,161
607536,"Kyle Freeland","KC","L","Other",-2.31837209302326,-6.21,83.2656976744186,2408.91860465116,172
607536,"Kyle Freeland","SI","L","COL",12.4415763546798,7.23665024630542,91.5197044334975,2298.69458128079,203
607536,"Kyle Freeland","SI","L","Other",15.2425974025974,7.51896103896104,91.3831168831169,2257.84848484848,231
607536,"Kyle Freeland","SL","L","COL",-0.118805970149254,5.92955223880597,87.0676616915423,2342.90547263682,201
607536,"Kyle Freeland","SL","L","Other",0.471044776119403,6.04238805970149,86.6611940298507,2315.0447761194,201
607625,"Seth Lugo","CH","R","COL",-11.4,3.80571428571429,88.2428571428571,1922.42857142857,7
607625,"Seth Lugo","CH","R","Other",-15.0235406698565,4.49741626794258,87.3301435406699,1853.63157894737,209
607625,"Seth Lugo","CU","R","COL",12.9066666666667,-11.8333333333333,79.6,3325.94444444444,18
607625,"Seth Lugo","CU","R","Other",14.6273553719008,-14.6350413223141,79.8004132231405,3283.21900826446,484
607625,"Seth Lugo","FC","R","COL",1.24,9.04,90.9666666666667,2502.55555555556,9
607625,"Seth Lugo","FC","R","Other",0.400487804878049,11.8609756097561,90.0593495934959,2438.21544715447,246
607625,"Seth Lugo","FF","R","COL",-4.45090909090909,11.8072727272727,92.5393939393939,2381.21212121212,33
607625,"Seth Lugo","FF","R","Other",-6.83528751753156,15.6097615708275,92.2235624123422,2366.80084151473,713
607625,"Seth Lugo","FS","R","Other",-10.729756097561,4.49121951219512,85.759756097561,1435.06097560976,82
607625,"Seth Lugo","SI","R","COL",-10.82,7.34,91.825,2389.5,12
607625,"Seth Lugo","SI","R","Other",-15.4192566371681,8.59030088495575,92.1522123893805,2410.89203539823,565
607625,"Seth Lugo","SL","R","COL",2.76,3.70285714285714,87.2857142857143,2564.14285714286,7
607625,"Seth Lugo","SL","R","Other",4.27391003460208,4.6239446366782,86.6757785467128,2648.40138408304,289
607625,"Seth Lugo","ST","R","COL",11.88,-1.36,81.9666666666667,2959.66666666667,3
607625,"Seth Lugo","ST","R","Other",14.147,2.47,81.7391666666667,2857.575,120
607625,"Seth Lugo","SV","R","COL",13.5,-5.88,78.9666666666667,3164.83333333333,12
607625,"Seth Lugo","SV","R","Other",17.9251485148515,-7.47762376237624,78.6963696369637,NA,303
608331,"Max Fried","CH","L","COL",7.11,4.66,83.2083333333333,1446.83333333333,12
608331,"Max Fried","CH","L","Other",12.2896438356164,4.38608219178082,85.8312328767123,1419.8602739726,365
608331,"Max Fried","CU","L","COL",-9.10666666666667,-14.4133333333333,74.0222222222222,2924.77777777778,27
608331,"Max Fried","CU","L","Other",-10.6155515370705,-16.9078481012658,74.6678119349005,2836.31103074141,553
608331,"Max Fried","FC","L","COL",-3.405,3.345,87.7875,2384.625,8
608331,"Max Fried","FC","L","Other",-3.35609756097561,2.86243902439024,87.8975609756097,2362.69105691057,123
608331,"Max Fried","FF","L","COL",-1.57263157894737,9.00947368421053,93.7894736842105,2329.63157894737,38
608331,"Max Fried","FF","L","Other",0.0014848143982002,11.0645669291339,93.8568053993251,2215.89651293588,889
608331,"Max Fried","SI","L","COL",6.98,7.54,92.8666666666667,2129.66666666667,6
608331,"Max Fried","SI","L","Other",10.6850943396226,8.45037735849057,93.5853773584906,2036.91509433962,424
608331,"Max Fried","SL","L","COL",-6.04,-5.52,83.1833333333333,2802.83333333333,6
608331,"Max Fried","SL","L","Other",-4.90953020134228,-4.78469798657718,83.6436241610738,NA,149
608331,"Max Fried","ST","L","Other",-15.9681481481481,-7.53925925925926,80.5703703703704,2813.46296296296,162
608718,"Brent Suter","CH","L","COL",7.35692307692308,8.95384615384615,76.6076923076923,1648.61538461538,13
608718,"Brent Suter","CH","L","Other",8.97460317460317,11.9066666666667,75.4396825396825,1592.2962962963,189
608718,"Brent Suter","FF","L","COL",-3.94,9.3,87.0875,2299.125,24
608718,"Brent Suter","FF","L","Other",-4.3863768115942,13.084347826087,85.7724637681159,2218.8309178744,414
608718,"Brent Suter","SI","L","COL",8.70857142857143,11.2285714285714,89.2428571428571,2222.14285714286,7
